"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/04/02","00:00","1.68","-","1.795"
"2023/04/02","01:00","1.875","-","2.045"
"2023/04/02","02:00","1.843","-","1.999"
"2023/04/02","03:00","1.61","-","1.812"
"2023/04/02","04:00","1.253","-","1.45"
"2023/04/02","05:00","0.855","-","1.122"
"2023/04/02","06:00","0.491","-","0.59"
"2023/04/02","07:00","0.26","-","0.383"
"2023/04/02","08:00","0.253","-","0.444"
"2023/04/02","09:00","0.464","-","0.537"
"2023/04/02","10:00","0.808","-","0.876"
"2023/04/02","11:00","1.212","-","1.214"
"2023/04/02","12:00","1.604","-","1.487"
"2023/04/02","13:00","1.874","-","1.646"
"2023/04/02","14:00","1.928","-","1.644"
"2023/04/02","15:00","1.76","-","1.497"
"2023/04/02","16:00","1.434","-","1.27"
"2023/04/02","17:00","1.033","-","0.949"
"2023/04/02","18:00","0.632","-","0.668"
"2023/04/02","19:00","0.319","-","0.416"
"2023/04/02","20:00","0.203","-","0.363"
"2023/04/02","21:00","0.332","-","0.554"
"2023/04/02","22:00","0.644","-","0.878"
"2023/04/02","23:00","1.052","-","1.269"
"2023/04/03","00:00","1.485","-","1.711"
"2023/04/03","01:00","1.834","-","2.058"
"2023/04/03","02:00","1.98","-","2.199"
"2023/04/03","03:00","1.877","-","2.095"
"2023/04/03","04:00","1.57","-","1.774"
"2023/04/03","05:00","1.152","-","1.354"
"2023/04/03","06:00","0.715","-","0.899"
"2023/04/03","07:00","0.345","-","0.539"
"2023/04/03","08:00","0.149","-","0.345"
"2023/04/03","09:00","0.207","-","0.408"
"2023/04/03","10:00","0.489","-","0.706"
"2023/04/03","11:00","0.895","-","1.124"
"2023/04/03","12:00","1.342","-","1.614"
"2023/04/03","13:00","1.741","-","1.984"
"2023/04/03","14:00","1.972","-","2.197"
"2023/04/03","15:00","1.956","-","2.19"
"2023/04/03","16:00","1.711","-","1.912"
"2023/04/03","17:00","1.32","-","1.511"
"2023/04/03","18:00","0.88","-","1.036"
"2023/04/03","19:00","0.475","-","0.613"
"2023/04/03","20:00","0.202","-","0.346"
"2023/04/03","21:00","0.166","-","0.263"
"2023/04/03","22:00","0.389","-","0.5"
"2023/04/03","23:00","0.781","-","0.885"
"2023/04/04","00:00","1.242","-","1.335"
"2023/04/04","01:00","1.686","-","1.8"
"2023/04/04","02:00","1.993","-","2.128"
"2023/04/04","03:00","2.056","-","2.22"
"2023/04/04","04:00","1.857","-","1.998"
"2023/04/04","05:00","1.467","-","1.608"
"2023/04/04","06:00","0.994","-","1.133"
"2023/04/04","07:00","0.537","-","0.689"
"2023/04/04","08:00","0.19","-","0.34"
"2023/04/04","09:00","0.06","-","0.188"
"2023/04/04","10:00","0.208","-","0.338"
"2023/04/04","11:00","0.574","-","0.713"
"2023/04/04","12:00","1.039","-","1.143"
"2023/04/04","13:00","1.509","-","1.619"
"2023/04/04","14:00","1.882","-","1.983"
"2023/04/04","15:00","2.039","-","2.164"
"2023/04/04","16:00","1.93","-","2.078"
"2023/04/04","17:00","1.6","-","1.735"
"2023/04/04","18:00","1.153","-","1.289"
"2023/04/04","19:00","0.695","-","0.815"
"2023/04/04","20:00","0.316","-","0.445"
"2023/04/04","21:00","0.117","-","0.244"
"2023/04/04","22:00","0.188","-","0.321"
"2023/04/04","23:00","0.516","-","0.666"
"2023/04/05","00:00","0.983","-","1.148"
"2023/04/05","01:00","1.474","-","1.662"
"2023/04/05","02:00","1.893","-","2.094"
"2023/04/05","03:00","2.122","-","2.332"
"2023/04/05","04:00","2.075","-","2.316"
"2023/04/05","05:00","1.77","-","1.992"
"2023/04/05","06:00","1.304","-","1.515"
"2023/04/05","07:00","0.796","-","0.978"
"2023/04/05","08:00","0.347","-","0.524"
"2023/04/05","09:00","0.053","-","0.245"
"2023/04/05","10:00","0.017","-","0.18"
"2023/04/05","11:00","0.269","-","0.488"
"2023/04/05","12:00","0.715","-","0.912"
"2023/04/05","13:00","1.22","-","1.423"
"2023/04/05","14:00","1.682","-","1.912"
"2023/04/05","15:00","1.994","-","2.254"
"2023/04/05","16:00","2.054","-","2.358"
"2023/04/05","17:00","1.843","-","2.133"
"2023/04/05","18:00","1.437","-","1.736"
"2023/04/05","19:00","0.956","-","1.28"
"2023/04/05","20:00","0.509","-","0.864"
"2023/04/05","21:00","0.187","-","0.551"
"2023/04/05","22:00","0.089","-","0.434"
"2023/04/05","23:00","0.281","-","0.627"
"2023/04/06","00:00","0.708","-","1.072"
"2023/04/06","01:00","1.226","-","1.566"
"2023/04/06","02:00","1.714","-","2.008"
"2023/04/06","03:00","2.071","-","2.35"
"2023/04/06","04:00","2.192","-","2.453"
"2023/04/06","05:00","2.025","-","2.26"
"2023/04/06","06:00","1.623","-","1.816"
"2023/04/06","07:00","1.101","-","1.289"
"2023/04/06","08:00","0.585","-","0.749"
"2023/04/06","09:00","0.173","-","0.332"
"2023/04/06","10:00","-0.039","-","0.12"
"2023/04/06","11:00","0.034","-","0.211"
"2023/04/06","12:00","0.387","-","0.626"
"2023/04/06","13:00","0.893","-","1.134"
"2023/04/06","14:00","1.408","-","1.653"
"2023/04/06","15:00","1.83","-","2.074"
"2023/04/06","16:00","2.056","-","2.296"
"2023/04/06","17:00","2.01","-","2.228"
"2023/04/06","18:00","1.705","-","1.863"
"2023/04/06","19:00","1.245","-","1.386"
"2023/04/06","20:00","0.756","-","0.862"
"2023/04/06","21:00","0.35","-","0.445"
"2023/04/06","22:00","0.111","-","0.212"
"2023/04/06","23:00","0.129","-","0.227"
"2023/04/07","00:00","0.437","-","0.558"
"2023/04/07","01:00","0.939","-","1.045"
"2023/04/07","02:00","1.474","-","1.628"
"2023/04/07","03:00","1.923","-","2.083"
"2023/04/07","04:00","2.192","-","2.373"
"2023/04/07","05:00","2.195","-","2.382"
"2023/04/07","06:00","1.916","-","2.082"
"2023/04/07","07:00","1.435","-","1.581"
"2023/04/07","08:00","0.886","-","1"
"2023/04/07","09:00","0.391","-","0.496"
"2023/04/07","10:00","0.043","-","0.111"
"2023/04/07","11:00","-0.073","-","-0.018"
"2023/04/07","12:00","0.108","-","0.231"
"2023/04/07","13:00","0.544","-","0.66"
"2023/04/07","14:00","1.08","-","1.162"
"2023/04/07","15:00","1.574","-","1.643"
"2023/04/07","16:00","1.932","-","1.985"
"2023/04/07","17:00","2.063","-","2.142"
"2023/04/07","18:00","1.917","-","1.933"
"2023/04/07","19:00","1.539","-","1.513"
"2023/04/07","20:00","1.05","-","1.025"
"2023/04/07","21:00","0.583","-","0.537"
"2023/04/07","22:00","0.239","-","0.151"
"2023/04/07","23:00","0.097","-","-0.01"
"2023/04/08","00:00","0.227","-","0.153"
"2023/04/08","01:00","0.629","-","0.576"
"2023/04/08","02:00","1.172","-","1.086"
"2023/04/08","03:00","1.69","-","1.614"
"2023/04/08","04:00","2.075","-","2.017"
"2023/04/08","05:00","2.246","-","2.221"
"2023/04/08","06:00","2.138","-","2.093"
"2023/04/08","07:00","1.768","-","1.687"
"2023/04/08","08:00","1.239","-","1.174"
"2023/04/08","09:00","0.692","-","0.637"
"2023/04/08","10:00","0.242","-","0.205"
"2023/04/08","11:00","-0.028","-","-0.076"
"2023/04/08","12:00","-0.047","-","-0.089"
