"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/04/30","00:00","6.175","-","7.85"
"2023/04/30","01:00","5.71","-","7.58"
"2023/04/30","02:00","4.761","-","6.57"
"2023/04/30","03:00","3.598","-","5.36"
"2023/04/30","04:00","2.456","-","4.18"
"2023/04/30","05:00","1.552","-","3.33"
"2023/04/30","06:00","1.178","-","2.87"
"2023/04/30","07:00","1.514","-","2.97"
"2023/04/30","08:00","2.392","-","3.84"
"2023/04/30","09:00","3.502","-","4.76"
"2023/04/30","10:00","4.646","-","5.92"
"2023/04/30","11:00","5.604","-","6.7"
"2023/04/30","12:00","6.065","-","7.05"
"2023/04/30","13:00","5.858","-","6.79"
"2023/04/30","14:00","5.083","-","6.14"
"2023/04/30","15:00","3.987","-","5.12"
"2023/04/30","16:00","2.818","-","3.95"
"2023/04/30","17:00","1.784","-","3.29"
"2023/04/30","18:00","1.154","-","2.52"
"2023/04/30","19:00","1.211","-","2.72"
"2023/04/30","20:00","1.951","-","3.4"
"2023/04/30","21:00","3.081","-","4.6"
"2023/04/30","22:00","4.343","-","6.07"
"2023/04/30","23:00","5.529","-","7.27"
"2023/05/01","00:00","6.312","-","8.11"
"2023/05/01","01:00","6.405","-","8.34"
"2023/05/01","02:00","5.789","-","7.68"
"2023/05/01","03:00","4.681","-","6.63"
"2023/05/01","04:00","3.377","-","5.41"
"2023/05/01","05:00","2.132","-","4.3"
"2023/05/01","06:00","1.203","-","3.65"
"2023/05/01","07:00","0.903","-","3.35"
"2023/05/01","08:00","1.37","-","3.54"
"2023/05/01","09:00","2.382","-","4.49"
"2023/05/01","10:00","3.617","-","5.52"
"2023/05/01","11:00","4.863","-","6.37"
"2023/05/01","12:00","5.848","-","6.92"
"2023/05/01","13:00","6.24","-","7.1"
"2023/05/01","14:00","5.902","-","6.47"
"2023/05/01","15:00","4.979","-","5.36"
"2023/05/01","16:00","3.753","-","3.99"
"2023/05/01","17:00","2.503","-","2.71"
"2023/05/01","18:00","1.467","-","1.81"
"2023/05/01","19:00","0.948","-","1.43"
"2023/05/01","20:00","1.201","-","1.98"
"2023/05/01","21:00","2.147","-","3.14"
"2023/05/01","22:00","3.447","-","4.67"
"2023/05/01","23:00","4.826","-","6.1"
"2023/05/02","00:00","6.033","-","7.13"
"2023/05/02","01:00","6.711","-","7.9"
"2023/05/02","02:00","6.604","-","7.76"
"2023/05/02","03:00","5.756","-","6.84"
"2023/05/02","04:00","4.442","-","5.57"
"2023/05/02","05:00","2.987","-","4.12"
"2023/05/02","06:00","1.669","-","2.84"
"2023/05/02","07:00","0.779","-","2.03"
"2023/05/02","08:00","0.631","-","1.81"
"2023/05/02","09:00","1.3","-","2.69"
"2023/05/02","10:00","2.5","-","3.78"
"2023/05/02","11:00","3.887","-","5.35"
"2023/05/02","12:00","5.215","-","6.57"
"2023/05/02","13:00","6.163","-","7.45"
"2023/05/02","14:00","6.401","-","7.73"
"2023/05/02","15:00","5.856","-","7.09"
"2023/05/02","16:00","4.739","-","5.96"
"2023/05/02","17:00","3.381","-","4.61"
"2023/05/02","18:00","2.084","-","3.02"
"2023/05/02","19:00","1.113","-","1.92"
"2023/05/02","20:00","0.786","-","1.62"
"2023/05/02","21:00","1.305","-","2.1"
"2023/05/02","22:00","2.499","-","3.28"
"2023/05/02","23:00","3.981","-","4.77"
"2023/05/03","00:00","5.445","-","6.26"
"2023/05/03","01:00","6.595","-","7.46"
"2023/05/03","02:00","7.069","-","8.05"
"2023/05/03","03:00","6.676","-","7.65"
"2023/05/03","04:00","5.547","-","6.59"
"2023/05/03","05:00","4.02","-","5.16"
"2023/05/03","06:00","2.448","-","3.56"
"2023/05/03","07:00","1.124","-","2.26"
"2023/05/03","08:00","0.357","-","1.5"
"2023/05/03","09:00","0.441","-","1.52"
"2023/05/03","10:00","1.369","-","2.4"
"2023/05/03","11:00","2.78","-","3.83"
"2023/05/03","12:00","4.302","-","5.42"
"2023/05/03","13:00","5.649","-","6.74"
"2023/05/03","14:00","6.467","-","7.6"
"2023/05/03","15:00","6.469","-","7.63"
"2023/05/03","16:00","5.671","-","6.77"
"2023/05/03","17:00","4.359","-","5.5"
"2023/05/03","18:00","2.905","-","3.98"
"2023/05/03","19:00","1.626","-","2.63"
"2023/05/03","20:00","0.8","-","1.83"
"2023/05/03","21:00","0.738","-","1.73"
"2023/05/03","22:00","1.57","-","2.68"
"2023/05/03","23:00","3.02","-","4.14"
"2023/05/04","00:00","4.647","-","5.8"
"2023/05/04","01:00","6.119","-","7.33"
"2023/05/04","02:00","7.111","-","8.41"
"2023/05/04","03:00","7.29","-","8.58"
"2023/05/04","04:00","6.561","-","7.75"
"2023/05/04","05:00","5.151","-","6.3"
"2023/05/04","06:00","3.451","-","4.57"
"2023/05/04","07:00","1.829","-","2.89"
"2023/05/04","08:00","0.582","-","1.63"
"2023/05/04","09:00","0.021","-","1.01"
"2023/05/04","10:00","0.4","-","1.55"
"2023/05/04","11:00","1.607","-","2.85"
"2023/05/04","12:00","3.208","-","4.48"
